file_name,WAMPI,PCI,LPI,catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
UCMP_239180.0,0.5390013256598472,3.0598728631829295,1.1549786876381627,239180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239801.0,0.40928955832477715,3.0424164579199857,0.6853247537503874,239801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240025.0,0.39983219476977516,3.0082526644782117,1.870415329847719,240025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240027.0,0.26165102728183687,3.1301134349695143,1.085435347290875,240027,UCMP,Mammalia,Artiodactyla,Bovidae,Bison,NA,NA,Humerus,NA,NA,-7139
UCMP_240130.0,0.3610950134545171,3.049688835086323,1.2178650472027577,240130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240513.0,0.3919529496701432,3.0765119091952093,2.3462064089572454,240513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240556.0,0.36902894532051866,3.2894283408717313,1.1856955274047987,240556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240639.0,0.5548794004047063,3.040141370099039,1.7930106278772755,240639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_240678.0,0.25340659319982534,3.256125847242847,1.0775299765200652,240678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_241629.0,0.6534825557920909,3.304165449131068,0.8714263107802263,241629,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Femur frag,NA,Loc 5 No 146,-7139
UCMP_241630.0,0.37481109406166313,3.284692866647722,1.1043689501065688,241630,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Femur frag,NA,Loc 1 Lot 14,-7139
UCMP_241645.0,0.7608499031969364,3.025873191199746,1.0294142645249025,241645,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Femur frag,NA,Loc 5 Sec 13,-7139
UCMP_241646.0,0.5373296376482316,3.1429674380155,1.3162642486077492,241646,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Femur frag,NA,Loc 5 Sec 12,-7139
UCMP_241663.0,0.6896787371021,3.160310782822392,1.0975162160982552,241663,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Femur frag,NA,Loc 4 Lot 84,-7139
UCMP_241678.0,0.6699994362399309,3.2207413556401296,0.7304499179279332,241678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_241679.0,0.5925186429331584,3.0653622997827976,0.892098799959483,241679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_241680.0,0.6051040399390855,3.131829879212771,1.5147876613111788,241680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_241681.0,0.7974763359756517,2.942211861163119,2.351180037254556,241681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_242538.0,1.0165834430308753,3.17474556751881,1.9131798122768826,242538,UCMP,Mammalia,Lagomorpha,Leporidae,NA,NA,NA,Juvenile femur frag,NA,NA,-1370
UCMP_242539.0,0.8244942833500524,3.040023511531273,1.5319847992184554,242539,UCMP,Mammalia,Lagomorpha,Leporidae,Lepus,NA,NA,Juvenile humerus,NA,NA,-1370
UCMP_242564.0,0.45071331818108856,2.960081766139477,1.284013066421458,242564,UCMP,Aves,NA,NA,NA,NA,NA,Femur frag,NA,NA,-1370
UCMP_242755.0,0.6817455496772206,3.0345822916072516,1.8542852594025292,242755,UCMP,Aves,NA,NA,NA,NA,NA,Femur frag,NA,NA,-1370
UCMP_246001.0,0.2683020604239604,3.2506911176438855,0.9933207292865961,246001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246025.0,0.6432458005049836,3.1160799904853316,1.0742767232277777,246025,UCMP,Mammalia,Carnivora,Felidae,Smilodon,NA,NA,"Ulna, left",NA,NA,-7139
UCMP_246193.1,0.5641653611438786,3.0074613045327494,1.4548168326133153,246193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246232.0,0.7716046368749834,2.9898475927213397,1.6399388474697527,246232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246290.0,0.2831788630956876,3.3473105120889075,1.0983237389185647,246290,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,NA,"Femur, left, proximal end",NA,NA,-7139
UCMP_246502.0,0.553049437743717,3.108885069112446,1.0692449376498143,246502,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,NA,"Metatarsal II, left",NA,No 5 - 210,-7139
UCMP_246507.0,0.4132645910314422,3.120036438499064,0.9064586242529733,246507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246895.0,0.5324821817320723,3.047771991771601,1.0581772333826294,246895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246946.0,0.3221612716933911,3.3551178519414306,0.9431970088193353,246946,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,NA,"Radius, right, proximal end",NA,NA,-1370
UCMP_246950.0,0.4798144993904689,3.2002273481273744,1.0898636972879248,246950,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,NA,"Metacarpal III, left",NA,NA,-1370
UCMP_246951.0,0.3631316083242123,3.2645096128678768,0.8297299912179202,246951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_246955.0,0.3196741157498,3.3560996721206178,0.7300500565565043,246955,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,NA,"Metatarsal IV, right",NA,NA,-1370
UCMP_246988.0,0.2586886628545735,3.5694389365016517,0.5130201790738141,246988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
