wavenumber,absorbance,file_name,catalog_number
818,0.10781599126894265,mckittrick_tar,tar
819,0.10337699197631173,mckittrick_tar,tar
820,0.09906321086628095,mckittrick_tar,tar
821,0.0954980802561794,mckittrick_tar,tar
822,0.09295894018461298,mckittrick_tar,tar
823,0.0912830201986668,mckittrick_tar,tar
824,0.08995571232716221,mckittrick_tar,tar
825,0.08845853863421432,mckittrick_tar,tar
826,0.08663067777227779,mckittrick_tar,tar
827,0.08470057821910998,mckittrick_tar,tar
828,0.0829948590811222,mckittrick_tar,tar
829,0.0816084722030001,mckittrick_tar,tar
830,0.08032787809186709,mckittrick_tar,tar
831,0.07891158779595914,mckittrick_tar,tar
832,0.07745988476155802,mckittrick_tar,tar
833,0.0764191133418502,mckittrick_tar,tar
834,0.07614910749995601,mckittrick_tar,tar
835,0.07652424804393082,mckittrick_tar,tar
836,0.07699314098654336,mckittrick_tar,tar
837,0.07696868670183693,mckittrick_tar,tar
838,0.07614029261420457,mckittrick_tar,tar
839,0.07451691335999017,mckittrick_tar,tar
840,0.07227392171255592,mckittrick_tar,tar
841,0.06959650573554804,mckittrick_tar,tar
842,0.06672163273851611,mckittrick_tar,tar
843,0.06415855813945831,mckittrick_tar,tar
844,0.0627471539584909,mckittrick_tar,tar
845,0.06324441259913721,mckittrick_tar,tar
846,0.06560981621620482,mckittrick_tar,tar
847,0.06863241909662438,mckittrick_tar,tar
848,0.07046715877116033,mckittrick_tar,tar
849,0.06988370681199524,mckittrick_tar,tar
850,0.06719346634511142,mckittrick_tar,tar
851,0.06397137473203346,mckittrick_tar,tar
852,0.061878081263003704,mckittrick_tar,tar
853,0.0616730013232501,mckittrick_tar,tar
854,0.06300927814281915,mckittrick_tar,tar
855,0.06482894016670354,mckittrick_tar,tar
856,0.06608248612101081,mckittrick_tar,tar
857,0.06647441651226388,mckittrick_tar,tar
858,0.0666474169045827,mckittrick_tar,tar
859,0.06751941623504037,mckittrick_tar,tar
860,0.0694096342806571,mckittrick_tar,tar
861,0.07188026395400854,mckittrick_tar,tar
862,0.07436113860842514,mckittrick_tar,tar
863,0.07672338120551875,mckittrick_tar,tar
864,0.07923441304259066,mckittrick_tar,tar
865,0.08220190448620485,mckittrick_tar,tar
866,0.08575250185673405,mckittrick_tar,tar
867,0.08975455458790732,mckittrick_tar,tar
868,0.09378925406204891,mckittrick_tar,tar
869,0.09722434353562598,mckittrick_tar,tar
870,0.09946667835174344,mckittrick_tar,tar
871,0.10034900910760441,mckittrick_tar,tar
872,0.1003398202669456,mckittrick_tar,tar
873,0.10019969311225002,mckittrick_tar,tar
874,0.10027529035685162,mckittrick_tar,tar
875,0.10017733050634897,mckittrick_tar,tar
876,0.09921968795589947,mckittrick_tar,tar
877,0.09715108028474123,mckittrick_tar,tar
878,0.09443559355969094,mckittrick_tar,tar
879,0.091863379307695,mckittrick_tar,tar
880,0.08999706078185371,mckittrick_tar,tar
881,0.08902299560466403,mckittrick_tar,tar
882,0.08888679460709398,mckittrick_tar,tar
883,0.08926807692860833,mckittrick_tar,tar
884,0.08951513671210093,mckittrick_tar,tar
885,0.08893665914643917,mckittrick_tar,tar
886,0.08724663062388188,mckittrick_tar,tar
887,0.0846648403373968,mckittrick_tar,tar
888,0.08170211609776873,mckittrick_tar,tar
889,0.0789676910301425,mckittrick_tar,tar
890,0.07700346235814931,mckittrick_tar,tar
891,0.07600156343281966,mckittrick_tar,tar
892,0.07562424268611717,mckittrick_tar,tar
893,0.07522701290133732,mckittrick_tar,tar
894,0.07428202413937562,mckittrick_tar,tar
895,0.07257925827089035,mckittrick_tar,tar
896,0.07019424152693327,mckittrick_tar,tar
897,0.06747119849867694,mckittrick_tar,tar
898,0.06502491251547221,mckittrick_tar,tar
899,0.06350620574831872,mckittrick_tar,tar
900,0.06307602433734055,mckittrick_tar,tar
901,0.06308573427815639,mckittrick_tar,tar
902,0.06251985968611945,mckittrick_tar,tar
903,0.06091497901319626,mckittrick_tar,tar
904,0.058854897584944166,mckittrick_tar,tar
905,0.05760574370932886,mckittrick_tar,tar
906,0.05819929885687164,mckittrick_tar,tar
907,0.06062782092256441,mckittrick_tar,tar
908,0.06378800127962464,mckittrick_tar,tar
909,0.06621586402327678,mckittrick_tar,tar
910,0.0669460790753687,mckittrick_tar,tar
911,0.06590717619823533,mckittrick_tar,tar
912,0.0638064148984428,mckittrick_tar,tar
913,0.06168122847385166,mckittrick_tar,tar
914,0.060341846338745786,mckittrick_tar,tar
915,0.06003294228834283,mckittrick_tar,tar
916,0.06048227306826409,mckittrick_tar,tar
917,0.06114485817761056,mckittrick_tar,tar
918,0.06144312810215907,mckittrick_tar,tar
919,0.06104072103933972,mckittrick_tar,tar
920,0.060083700397312756,mckittrick_tar,tar
921,0.05912886928106381,mckittrick_tar,tar
922,0.05873535390848156,mckittrick_tar,tar
923,0.05908374357078011,mckittrick_tar,tar
924,0.05993921826503862,mckittrick_tar,tar
