sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,241070,280014,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,241072,280012,Equus,Equus,,McKittrick,7139,left,radius,,1,
TRUE,UCMP,239508,,,Equus,,McKittrick,,,,,4,
TRUE,UCMP,259515,,,Equus,occidentalis,McKittrick,,,,,4,
TRUE,UCMP,234639,,,Euceratherium,collinum,McKittrick,,,,,4,
TRUE,UCMP,234600,280004,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,234602,280006,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,234604,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,234605,280005,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,234684,280008,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,234724,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,234734,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235033,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235105,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235107,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235108,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235109,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235110,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235111,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235112,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235114,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,235115,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235116,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235117,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235118,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235119,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235120,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235122,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,235123,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,239746,280007,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,239785,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,239948,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,239961,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,239975,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
